event_id,fixture_id,source_id,home_team,away_team,league,commence_time,source,home_odds,draw_odds,away_odds,home_bookmaker,away_bookmaker,btts_yes_odds,btts_no_odds
19427146,19427146,19427146,Brentford,Brighton & Hove Albion,soccer_epl,2026-02-21T15:00:00,sportmonks,2.3,3.4,3.1,bet365,bet365,6.79,2.93
19427147,19427147,19427147,Chelsea,Burnley,soccer_epl,2026-02-21T15:00:00,sportmonks,1.25,6.5,9.5,Ladbrokes,Ladbrokes,3.4,1.28
19427716,19427716,19427716,Aston Villa,Leeds United,soccer_epl,2026-02-21T15:00:00,sportmonks,1.73,3.08,4.4,HKJC,HKJC,1.67,2.22
19427154,19427154,19427154,West Ham United,AFC Bournemouth,soccer_epl,2026-02-21T17:30:00,sportmonks,2.5,3.6,2.6,Ladbrokes,Ladbrokes,1.43,2.7
19427150,19427150,19427150,Manchester City,Newcastle United,soccer_epl,2026-02-21T20:00:00,sportmonks,1.5,4.75,5.5,bet365,bet365,2.79,1.4
19427148,19427148,19427148,Crystal Palace,Wolverhampton Wanderers,soccer_epl,2026-02-22T14:00:00,sportmonks,1.65,4.0,5.0,Ladbrokes,Ladbrokes,1.96,1.85
19427151,19427151,19427151,Nottingham Forest,Liverpool,soccer_epl,2026-02-22T14:00:00,sportmonks,4.08,4.08,1.9,1xbet,1xbet,2.98,1.35
19427152,19427152,19427152,Sunderland,Fulham,soccer_epl,2026-02-22T14:00:00,sportmonks,2.6,3.25,2.7,Ladbrokes,Ladbrokes,3.48,1.27
19427153,19427153,19427153,Tottenham Hotspur,Arsenal,soccer_epl,2026-02-22T16:30:00,sportmonks,5.5,4.0,1.57,Ladbrokes,Ladbrokes,3.45,1.27
19427149,19427149,19427149,Everton,Manchester United,soccer_epl,2026-02-23T20:00:00,sportmonks,3.5,3.7,1.95,Ladbrokes,Ladbrokes,2.89,1.37
